,id,pts,offset
Lorimer St & Broadway-Scholes St & Manhattan Ave,141,2,282
Lorimer St & Broadway-Devoe St & Lorimer St,142,2,284
Lorimer St & Broadway-Frost St & Debevoise Ave,143,2,286
Lorimer St & Broadway-Myrtle Ave & Marcy Ave,144,2,288
Lorimer St & Broadway-Broadway & Roebling St,145,2,290
Lorimer St & Broadway-Montrose Ave & Bushwick Ave,146,2,292
Lorimer St & Broadway-S 3 St & Bedford Ave,147,2,294
E 48 St & 3 Ave-1 Ave & E 68 St,148,2,296
E 48 St & 3 Ave-E 44 St & Lexington Ave,149,2,298
E 48 St & 3 Ave-1 Ave & E 62 St,150,2,300
E 48 St & 3 Ave-2 Ave & E 31 St,151,2,302
E 48 St & 3 Ave-W 41 St & 8 Ave,152,2,304
E 48 St & 3 Ave-E 58 St & 3 Ave,153,2,306
E 48 St & 3 Ave-Broadway & W 48 St,154,2,308
E 48 St & 3 Ave-E 31 St & 3 Ave,155,2,310
E 48 St & 3 Ave-W 31 St & 7 Ave,156,2,312
E 48 St & 3 Ave-E 84 St & 1 Ave,157,2,314
MacDonough St & Malcolm X Blvd-Throop Ave & Myrtle Ave,158,2,316
MacDonough St & Malcolm X Blvd-Halsey St & Tompkins Ave,159,2,318
MacDonough St & Malcolm X Blvd-Bushwick Ave & Powers St,160,2,320
MacDonough St & Malcolm X Blvd-Macon St & Nostrand Ave,161,2,322
MacDonough St & Malcolm X Blvd-Lewis Ave & Madison St,162,2,324
MacDonough St & Malcolm X Blvd-Hancock St & Malcolm X Blvd,163,2,326
MacDonough St & Malcolm X Blvd-Kosciuszko St & Nostrand Ave,164,2,328
MacDonough St & Malcolm X Blvd-Chauncey St & Malcolm X Blvd,165,2,330
MacDonough St & Malcolm X Blvd-Waterbury St & Stagg St,166,2,332
MacDonough St & Malcolm X Blvd-Putnam Ave & Throop Ave,167,2,334
Bainbridge Ave & Bedford Park Blvd-Bainbridge Ave & E 198 St,168,2,336
Bainbridge Ave & Bedford Park Blvd-Jerome Ave & Bedford Park Blvd E,169,2,338
Bainbridge Ave & Bedford Park Blvd-Grand Concourse & E 199 St,170,2,340
Bainbridge Ave & Bedford Park Blvd-Grand Concourse & E 197 St,171,2,342
Bainbridge Ave & Bedford Park Blvd-Goulden Ave & W 197 St,172,2,344
Bainbridge Ave & Bedford Park Blvd-Decatur Ave & Bedford Park Blvd,173,2,346
Bainbridge Ave & Bedford Park Blvd-Bainbridge Ave & E 196 St,174,2,348
Bainbridge Ave & Bedford Park Blvd-Jerome Ave & W 193 St,175,2,350
Bainbridge Ave & Bedford Park Blvd-Jerome Ave & E Mosholu Parkway S,176,2,352
Bainbridge Ave & Bedford Park Blvd-E Fordham Rd & Webster Ave,177,2,354
W 218 St & Broadway-Isham St & Broadway,178,2,356
W 218 St & Broadway-W 218 St & Indian Rd,179,2,358
W 218 St & Broadway-Broadway & W 220 St,180,2,360
W 218 St & Broadway-Broadway & W 185 St,181,2,362
W 218 St & Broadway-Seaman Ave & Beak St,182,2,364
W 218 St & Broadway-Riverside Dr & Broadway,183,2,366
W 218 St & Broadway-W 225 St & Exterior St,184,2,368
W 218 St & Broadway-Academy St & Nagle Ave,185,2,370
W 218 St & Broadway-Nagle Ave & Ellwood St,186,2,372
W 218 St & Broadway-10 Ave & W 215 St,187,2,374
N 12 St & Bedford Ave-S 3 St & Bedford Ave,188,2,376
N 12 St & Bedford Ave-Broadway & Berry St,189,2,378
N 12 St & Bedford Ave-Hope St & Union Ave,190,2,380
N 12 St & Bedford Ave-Wythe Ave & Metropolitan Ave,191,2,382
N 12 St & Bedford Ave-Franklin St & Dupont St,192,2,384
N 12 St & Bedford Ave-Kingsland Ave & Nassau Ave,193,2,386
N 12 St & Bedford Ave-Milton St & Franklin St,194,2,388
N 12 St & Bedford Ave-Nassau Ave & Russell St,195,2,390
N 12 St & Bedford Ave-Stagg St & Union Ave,196,2,392
N 12 St & Bedford Ave-Grand St & Havemeyer St,197,2,394
Southern Blvd & E 174 St-Southern Blvd & E 175 St,198,2,396
Southern Blvd & E 174 St-University Ave & W Burnside Ave,199,2,398
Southern Blvd & E 174 St-3 Ave & E 172 St,200,2,400
Southern Blvd & E 174 St-Prospect Ave & Jennings St,201,2,402
Southern Blvd & E 174 St-Crotona Park East & E 173 St,202,2,404
Southern Blvd & E 174 St-Hoe Ave & Jennings St,203,2,406
Southern Blvd & E 174 St-Charlotte St & Boston Rd,204,2,408
Southern Blvd & E 174 St-E 174 St & Longfellow Ave,205,2,410
Southern Blvd & E 174 St-Southern Blvd & E 172 St,206,2,412
Southern Blvd & E 174 St-Crotona Park North & Prospect Ave,207,2,414
St Marks Ave & Ralph Ave-Suydam St & Broadway,208,2,416
St Marks Ave & Ralph Ave-Fulton St & Utica Ave,209,2,418
St Marks Ave & Ralph Ave-St Johns Pl & Utica Ave,210,2,420
St Marks Ave & Ralph Ave-Bergen St & Buffalo Ave,211,2,422
St Marks Ave & Ralph Ave-Dean St & Rockaway Ave,212,2,424
